iter	Passed	Remaining
205	974	3755
206	978	3748
207	982	3740
208	986	3734
209	990	3726
210	994	3719
211	998	3711
212	1002	3702
213	1005	3694
214	1010	3689
215	1014	3682
216	1018	3675
217	1022	3666
218	1026	3660
219	1030	3653
220	1034	3645
221	1037	3636
222	1041	3629
223	1045	3622
224	1049	3616
225	1053	3608
226	1057	3602
227	1062	3596
228	1066	3589
229	1069	3581
230	1073	3574
231	1077	3567
232	1081	3561
233	1085	3553
234	1089	3546
235	1093	3540
236	1097	3533
237	1101	3526
238	1105	3519
239	1109	3512
240	1112	3505
241	1116	3497
242	1120	3491
243	1125	3486
244	1129	3479
245	1133	3472
246	1136	3465
247	1140	3459
248	1144	3452
249	1148	3446
250	1152	3438
251	1156	3432
252	1161	3430
253	1165	3423
254	1169	3417
255	1174	3412
256	1178	3405
257	1181	3399
258	1185	3391
259	1189	3385
260	1193	3379
261	1197	3372
262	1201	3366
263	1205	3361
264	1212	3363
265	1217	3360
266	1221	3354
267	1226	3350
268	1230	3343
269	1234	3337
270	1238	3332
271	1242	3326
272	1247	3320
273	1251	3315
274	1255	3310
275	1259	3304
276	1263	3298
277	1267	3291
278	1271	3286
279	1275	3279
280	1280	3275
281	1283	3268
282	1287	3262
283	1291	3256
284	1295	3250
285	1299	3244
286	1303	3239
287	1307	3233
288	1311	3227
289	1315	3221
290	1319	3215
291	1323	3209
292	1327	3203
293	1331	3197
294	1335	3191
295	1339	3185
296	1343	3181
297	1348	3175
298	1353	3172
299	1360	3173
300	1364	3169
301	1371	3171
302	1376	3166
303	1380	3160
304	1384	3154
305	1390	3153
306	1398	3156
307	1403	3153
308	1407	3147
309	1411	3142
310	1416	3137
311	1420	3132
312	1424	3127
313	1428	3121
314	1433	3118
315	1438	3113
316	1442	3108
317	1446	3103
318	1453	3102
319	1457	3098
320	1462	3093
321	1467	3090
322	1472	3085
323	1476	3081
324	1481	3077
325	1486	3073
326	1492	3071
327	1497	3068
328	1502	3065
329	1507	3060
330	1512	3056
331	1517	3052
332	1522	3049
333	1526	3044
334	1531	3040
335	1535	3035
336	1540	3030
337	1545	3026
338	1551	3024
339	1555	3019
340	1560	3016
341	1570	3021
342	1577	3021
343	1583	3018
344	1587	3013
345	1592	3010
346	1598	3007
347	1602	3002
348	1608	2999
349	1626	3020
350	1631	3016
351	1636	3012
352	1640	3007
353	1645	3002
354	1650	2998
355	1654	2993
356	1659	2989
357	1664	2984
358	1668	2979
359	1672	2973
360	1677	2969
361	1681	2964
362	1686	2958
363	1690	2953
364	1695	2949
365	1699	2943
366	1703	2938
367	1708	2933
368	1713	2929
369	1717	2924
370	1722	2919
371	1727	2916
372	1750	2942
373	1759	2944
374	1765	2942
375	1778	2952
376	1803	2980
377	1819	2993
378	1824	2989
379	1854	3026
380	1903	3092
381	1924	3112
382	1928	3106
383	1945	3121
384	1950	3115
385	1955	3110
386	1959	3103
387	1963	3097
388	1981	3112
389	1986	3106
390	1990	3100
391	1994	3094
392	2011	3106
393	2015	3100
394	2020	3095
395	2037	3108
396	2042	3101
397	2046	3095
398	2050	3087
399	2054	3081
400	2058	3074
401	2062	3067
402	2066	3060
403	2070	3054
404	2074	3047
405	2078	3040
406	2082	3033
407	2086	3027
408	2090	3020
409	2094	3013
410	2098	3006
411	2102	3000
412	2106	2993
413	2110	2986
414	2113	2979
415	2117	2973
416	2121	2966
417	2125	2959
418	2129	2952
419	2133	2946
420	2137	2940
421	2141	2933
422	2145	2926
423	2149	2920
424	2154	2914
425	2158	2908
426	2161	2901
427	2166	2895
428	2169	2888
429	2173	2881
430	2177	2874
431	2181	2868
432	2186	2862
433	2190	2856
434	2194	2850
435	2198	2844
436	2202	2837
437	2206	2830
438	2210	2824
439	2214	2817
440	2218	2811
441	2222	2805
442	2226	2798
443	2230	2793
444	2234	2786
445	2237	2779
446	2241	2773
447	2246	2767
448	2249	2761
449	2253	2754
450	2257	2748
451	2263	2743
452	2267	2737
453	2271	2731
454	2275	2725
455	2279	2719
456	2283	2713
457	2287	2706
458	2291	2701
459	2295	2695
460	2299	2688
461	2304	2683
462	2308	2676
463	2312	2670
464	2315	2664
465	2319	2658
466	2324	2652
467	2328	2646
468	2332	2640
469	2336	2634
470	2340	2628
471	2344	2622
472	2348	2616
473	2352	2610
474	2356	2604
475	2360	2598
476	2364	2592
477	2368	2586
478	2372	2580
479	2376	2574
480	2380	2568
481	2384	2562
482	2388	2556
483	2391	2550
484	2395	2544
485	2399	2538
486	2404	2532
487	2407	2526
488	2412	2520
489	2416	2515
490	2420	2509
491	2424	2503
492	2430	2499
493	2434	2493
494	2438	2487
495	2443	2482
496	2447	2476
497	2451	2471
498	2455	2465
499	2459	2459
500	2464	2454
501	2468	2449
502	2472	2443
503	2477	2438
504	2481	2432
505	2485	2426
506	2489	2420
507	2494	2415
508	2511	2422
509	2515	2416
510	2519	2411
511	2523	2405
512	2527	2399
513	2533	2395
514	2537	2389
515	2541	2384
516	2545	2378
517	2549	2372
518	2554	2367
519	2558	2361
520	2561	2355
521	2565	2349
522	2569	2343
523	2574	2338
524	2578	2333
525	2582	2327
526	2586	2321
527	2590	2316
528	2595	2310
529	2599	2304
530	2603	2299
531	2608	2295
532	2612	2289
533	2616	2283
534	2621	2278
535	2625	2272
536	2629	2266
537	2632	2260
538	2638	2256
539	2642	2250
540	2646	2245
541	2650	2239
542	2654	2234
543	2658	2228
544	2662	2222
545	2666	2216
546	2670	2211
547	2674	2205
548	2677	2199
549	2682	2194
550	2686	2188
551	2690	2183
552	2694	2177
553	2698	2172
554	2703	2167
555	2706	2161
556	2710	2155
557	2714	2150
558	2718	2144
559	2722	2139
560	2726	2133
561	2729	2127
562	2733	2121
563	2737	2116
564	2741	2110
565	2745	2105
566	2749	2099
567	2753	2094
568	2757	2088
569	2761	2083
570	2765	2077
571	2770	2072
572	2773	2067
573	2777	2061
574	2781	2056
575	2786	2050
576	2790	2045
577	2795	2041
578	2799	2035
579	2803	2030
580	2807	2024
581	2811	2019
582	2815	2013
583	2819	2008
584	2824	2003
585	2828	1998
586	2832	1992
587	2836	1987
588	2840	1982
589	2844	1976
590	2848	1971
591	2852	1965
592	2856	1960
593	2860	1955
594	2864	1949
595	2868	1944
596	2872	1939
597	2876	1933
598	2880	1928
599	2884	1922
600	2888	1917
601	2892	1912
602	2896	1906
603	2900	1901
604	2904	1896
605	2908	1891
606	2912	1885
607	2917	1880
608	2920	1875
609	2924	1869
610	2928	1864
611	2933	1859
612	2937	1854
613	2941	1849
614	2946	1844
615	2951	1839
616	2955	1834
617	2960	1829
618	2964	1824
619	2968	1819
620	2972	1814
621	2976	1808
622	2980	1803
623	2984	1798
624	2988	1792
625	2991	1787
626	2996	1782
627	3000	1777
628	3004	1771
629	3008	1766
630	3012	1761
631	3016	1756
632	3020	1751
633	3024	1746
634	3028	1740
635	3032	1735
636	3036	1730
637	3040	1725
638	3044	1719
639	3048	1714
640	3052	1709
641	3056	1704
642	3059	1698
643	3063	1693
644	3068	1688
645	3072	1683
646	3076	1678
647	3080	1673
648	3084	1668
649	3088	1663
650	3092	1657
651	3096	1652
652	3101	1647
653	3104	1642
654	3108	1637
655	3112	1632
656	3116	1627
657	3120	1622
658	3124	1616
659	3128	1611
660	3132	1606
661	3136	1601
662	3140	1596
663	3145	1591
664	3150	1586
665	3154	1581
666	3158	1576
667	3162	1571
668	3166	1566
669	3170	1561
670	3174	1556
671	3178	1551
672	3182	1546
673	3186	1541
674	3190	1536
675	3194	1531
676	3198	1525
677	3202	1520
678	3206	1515
679	3210	1510
680	3214	1505
681	3218	1500
682	3222	1495
683	3225	1490
684	3230	1485
685	3234	1480
686	3238	1475
687	3242	1470
688	3246	1465
689	3250	1460
690	3254	1455
691	3257	1450
692	3262	1445
693	3266	1440
694	3269	1435
695	3274	1430
696	3278	1425
697	3282	1420
698	3285	1414
699	3289	1409
700	3294	1405
701	3298	1400
702	3302	1395
703	3306	1390
704	3310	1385
705	3314	1380
706	3318	1375
707	3323	1370
708	3328	1366
709	3332	1361
710	3336	1355
711	3340	1351
712	3344	1346
713	3348	1341
714	3352	1336
715	3356	1331
716	3360	1326
717	3364	1321
718	3368	1316
719	3372	1311
720	3376	1306
721	3380	1301
722	3384	1296
723	3387	1291
724	3392	1286
725	3396	1281
726	3400	1276
727	3404	1271
728	3408	1267
729	3412	1262
730	3416	1257
731	3420	1252
732	3424	1247
733	3428	1242
734	3432	1237
735	3436	1232
736	3440	1227
737	3445	1223
738	3449	1218
739	3453	1213
740	3457	1208
741	3461	1203
742	3465	1198
743	3469	1193
744	3473	1188
745	3478	1184
746	3482	1179
747	3486	1174
748	3491	1169
749	3494	1164
750	3498	1160
751	3502	1155
752	3507	1150
753	3511	1145
754	3515	1140
755	3519	1135
756	3523	1131
757	3527	1126
758	3530	1121
759	3534	1116
760	3539	1111
761	3543	1106
762	3547	1101
763	3551	1097
764	3556	1092
765	3560	1087
766	3564	1082
767	3568	1077
768	3572	1073
769	3576	1068
770	3580	1063
771	3584	1058
772	3589	1054
773	3593	1049
774	3597	1044
775	3601	1039
776	3605	1034
777	3609	1029
778	3612	1024
779	3616	1020
780	3620	1015
781	3624	1010
782	3628	1005
783	3632	1000
784	3636	995
785	3640	991
786	3644	986
787	3648	981
788	3652	976
789	3656	971
790	3660	967
791	3664	962
792	3668	957
793	3672	952
794	3675	947
795	3679	943
796	3683	938
797	3687	933
798	3691	928
799	3696	924
800	3700	919
801	3703	914
802	3707	909
803	3711	904
804	3715	900
805	3719	895
806	3723	890
807	3727	885
808	3731	880
809	3735	876
810	3739	871
811	3743	866
812	3747	861
813	3751	857
814	3755	852
815	3759	847
816	3763	842
817	3767	838
818	3771	833
819	3775	828
820	3779	824
821	3783	819
822	3787	814
823	3791	809
824	3795	805
825	3799	800
826	3803	795
827	3807	790
828	3811	786
829	3816	781
830	3820	776
831	3824	772
832	3828	767
833	3832	762
834	3837	758
835	3840	753
836	3844	748
837	3848	744
838	3853	739
839	3857	734
840	3861	730
841	3865	725
842	3869	720
843	3873	715
844	3877	711
845	3881	706
846	3885	701
847	3889	697
848	3893	692
849	3897	687
850	3901	683
851	3905	678
852	3909	673
853	3914	669
854	3918	664
855	3922	659
856	3926	655
857	3930	650
858	3934	645
859	3938	641
860	3941	636
861	3945	631
862	3950	627
863	3954	622
864	3958	617
865	3962	613
866	3966	608
867	3970	603
868	3974	599
869	3978	594
870	3982	589
871	3986	585
872	3990	580
873	3994	575
874	3998	571
875	4002	566
876	4006	561
877	4012	557
878	4016	552
879	4020	548
880	4024	543
881	4029	539
882	4033	534
883	4037	529
884	4041	525
885	4045	520
886	4049	515
887	4053	511
888	4057	506
889	4061	501
890	4065	497
891	4069	492
892	4073	488
893	4077	483
894	4081	478
895	4085	474
896	4089	469
897	4093	464
898	4097	460
899	4101	455
900	4105	451
901	4109	446
902	4113	441
903	4117	437
904	4123	432
905	4129	428
906	4132	423
907	4137	419
908	4141	414
909	4146	410
910	4150	405
911	4154	400
912	4159	396
913	4164	391
914	4168	387
915	4172	382
916	4178	378
917	4182	373
918	4186	369
919	4191	364
920	4196	359
921	4201	355
922	4205	350
923	4211	346
924	4215	341
925	4219	337
926	4225	332
927	4229	328
928	4233	323
929	4237	318
930	4243	314
931	4247	309
932	4251	305
933	4255	300
934	4262	296
935	4266	291
936	4270	287
937	4275	282
938	4280	278
939	4284	273
940	4290	268
941	4294	264
942	4298	259
943	4302	255
944	4308	250
945	4312	246
946	4316	241
947	4320	237
948	4326	232
949	4330	227
950	4334	223
951	4339	218
952	4344	214
953	4348	209
954	4352	205
955	4359	200
956	4363	196
957	4367	191
958	4374	187
959	4378	182
960	4390	178
961	4394	173
962	4398	169
963	4404	164
964	4409	159
965	4413	155
966	4416	150
967	4422	146
968	4427	141
969	4431	137
970	4435	132
971	4441	127
972	4445	123
973	4449	118
974	4455	114
975	4459	109
976	4464	105
977	4468	100
978	4473	95
979	4478	91
980	4482	86
981	4487	82
982	4491	77
983	4495	73
984	4499	68
985	4505	63
986	4509	59
987	4513	54
988	4517	50
989	4521	45
990	4525	41
991	4529	36
992	4533	31
993	4537	27
994	4542	22
995	4546	18
996	4551	13
997	4556	9
998	4560	4
999	4564	0
