iter	Logloss
0	0.6367892565
1	0.5911605786
2	0.5473237022
3	0.5123864331
4	0.4822285526
5	0.459383775
6	0.4385220574
7	0.4208102229
8	0.4082780857
9	0.3960544673
10	0.3864938434
11	0.3774521664
12	0.36997674
13	0.3628457943
14	0.3564436977
15	0.3515380489
16	0.3470838825
17	0.342700099
18	0.3388472326
19	0.3355219745
20	0.3308465655
21	0.3280244475
22	0.3256384001
23	0.3227552865
24	0.3201456014
25	0.3177300462
26	0.3152207532
27	0.3134524916
28	0.3118963272
29	0.3104691391
30	0.3090172974
31	0.3077388134
32	0.3065039255
33	0.3054623724
34	0.3042910307
35	0.3033254432
36	0.3022148453
37	0.3012148317
38	0.3001374402
39	0.2992549588
40	0.2985169445
41	0.2975287453
42	0.2965777252
43	0.2957252157
44	0.294752695
45	0.2940514129
46	0.2934990942
47	0.2927277253
48	0.292046813
49	0.2915651142
50	0.2910478709
51	0.2906209977
52	0.290151664
53	0.2897776385
54	0.2893856802
55	0.2890504535
56	0.2885465134
57	0.2881456616
58	0.287740084
59	0.2874666553
60	0.2869251757
61	0.2866009314
62	0.2862025807
63	0.2858515965
64	0.2851390357
65	0.2847986684
66	0.284536679
67	0.284021085
68	0.2837042009
69	0.2833026602
70	0.2829532759
71	0.2825261236
72	0.2821324024
73	0.2819538549
74	0.2817310691
75	0.2813975313
76	0.280856543
77	0.2806508481
78	0.2803389861
79	0.2799337788
80	0.2796262895
81	0.2793839489
82	0.2789893215
83	0.2785697159
84	0.2784207304
85	0.2782425976
86	0.2780638179
87	0.2778165379
88	0.2776297079
89	0.2773038722
90	0.2769110831
91	0.2767258678
92	0.2765667369
93	0.276409864
94	0.2761933435
95	0.2759916929
96	0.2757317441
97	0.2755834808
98	0.2752436851
99	0.2750648671
100	0.2747829573
101	0.2746833258
102	0.2745202432
103	0.274354873
104	0.2742235165
105	0.2740404172
106	0.2739641134
107	0.2737947162
108	0.273651444
109	0.2732529909
110	0.2731353501
111	0.2730275855
112	0.2726066145
113	0.2725325118
114	0.2722608326
115	0.27208368
116	0.2719137729
117	0.2715799572
118	0.2713467879
119	0.271206665
120	0.2709826547
121	0.2708413775
122	0.270734645
123	0.2706112933
124	0.2704123722
125	0.2702345814
126	0.2698807158
127	0.2696903723
128	0.2693064903
129	0.2692457144
130	0.2691543221
131	0.2690349764
132	0.2689549702
133	0.2687447767
134	0.2686093229
135	0.2685370522
136	0.2684243002
137	0.2682046378
138	0.2680679469
139	0.2680061859
140	0.2679166368
141	0.267762007
142	0.267684855
143	0.2675372312
144	0.2673312017
145	0.2672081796
146	0.2670271519
147	0.2667690043
148	0.2665679611
149	0.2661559046
150	0.2660919202
151	0.2660110844
152	0.2658779428
153	0.2656963509
154	0.2655381064
155	0.2653190675
156	0.2651868678
157	0.2649982366
158	0.2648131016
159	0.2647285832
160	0.2646550521
161	0.2645925861
162	0.2645007038
163	0.2644172743
164	0.2643463604
165	0.26426968
166	0.2641828037
167	0.2640295257
168	0.2639561366
169	0.2637957058
170	0.263679297
171	0.2635949268
172	0.2635172082
173	0.2632655073
174	0.2630044153
175	0.2629413506
176	0.2628388266
177	0.2625421394
178	0.2624393772
179	0.2622887386
180	0.2621263165
181	0.2620562569
182	0.2618817339
183	0.2617649585
184	0.2616907941
185	0.2615687917
186	0.2615150723
187	0.2614387142
188	0.2613716619
189	0.2612051658
190	0.2611183734
191	0.2609091268
192	0.260717129
193	0.2605728174
194	0.2603516008
195	0.2601854565
196	0.2601097008
197	0.2598999641
198	0.259825217
199	0.2597605091
200	0.259686025
201	0.2595399542
202	0.2594552827
203	0.2592349154
204	0.2590982801
205	0.2589537883
206	0.2588758783
207	0.2586658688
208	0.2584899248
209	0.2584210948
210	0.2583711198
211	0.2582286094
212	0.2580694378
213	0.2580091273
214	0.2578315266
215	0.2576918617
216	0.2575392134
217	0.2574717735
218	0.2573994596
219	0.2573290285
220	0.2572165221
221	0.2571646755
222	0.2570434743
223	0.2569160153
224	0.2567265384
225	0.256620154
226	0.2565198917
227	0.2564019793
228	0.2563303531
229	0.2561944054
230	0.2560702129
231	0.2559295531
232	0.255871561
233	0.2557871822
234	0.2557285445
235	0.2556434298
236	0.2554547862
237	0.2553991941
238	0.2553488451
239	0.255183202
240	0.2549737615
241	0.2549220829
242	0.2548536949
243	0.2548091419
244	0.2546652143
245	0.2545632026
246	0.2544655933
247	0.2544181231
248	0.2543494166
249	0.2542375188
250	0.2542068765
251	0.2541587286
252	0.2540430199
253	0.2539222162
254	0.2538125763
255	0.2537397885
256	0.25368041
257	0.2535639655
258	0.253461781
259	0.2533789934
260	0.2533205631
261	0.2532125072
262	0.2531582261
263	0.2531210372
264	0.2530730362
265	0.2529046389
266	0.2528387459
267	0.252733438
268	0.2526881727
269	0.2526118035
270	0.2525708171
271	0.2524811544
272	0.2523844808
273	0.2522743447
274	0.2521705702
275	0.2520825827
276	0.2520421383
277	0.2520137293
278	0.2519656333
279	0.2519231728
280	0.2518449543
281	0.2518167736
282	0.2517770131
283	0.2517020401
284	0.2516396532
285	0.2515157545
286	0.2514621142
287	0.2514296868
288	0.2514027691
289	0.2513553274
290	0.2513132447
291	0.2512178872
292	0.2511481263
293	0.2509942903
294	0.2509236864
295	0.2508894825
296	0.2508077257
297	0.2507675344
298	0.2506781877
299	0.2505904522
300	0.2505718824
301	0.2505261035
302	0.2504336471
303	0.250401637
304	0.2501301046
305	0.2500685374
306	0.2499992852
307	0.2499344279
308	0.2498989648
309	0.2498358643
310	0.2498045036
311	0.249743261
312	0.2497123681
313	0.2496683596
314	0.2496144366
315	0.2495856856
316	0.2494332039
317	0.2493553211
318	0.2493221369
319	0.2493045128
320	0.2492483701
321	0.2491762192
322	0.2491220073
323	0.249090749
324	0.2490635474
325	0.2490149896
326	0.2489849819
327	0.2489087855
328	0.2488857911
329	0.2488628807
330	0.2487572926
331	0.2487525397
332	0.2486879639
333	0.2486055849
334	0.2485657133
335	0.2485334761
336	0.2485007511
337	0.2484371803
338	0.2483635196
339	0.2483140396
340	0.248287038
341	0.248248675
342	0.2480230313
343	0.2479475805
344	0.2478804962
345	0.2478280237
346	0.247802222
347	0.247667904
348	0.2476352334
349	0.2475710674
350	0.2475172753
351	0.2474877577
352	0.2474429381
353	0.2474017727
354	0.2473128285
355	0.2472796579
356	0.2472075947
357	0.2471483274
358	0.2471167382
359	0.2470505662
360	0.2469920581
361	0.2469513816
362	0.2469239158
363	0.2468769061
364	0.2468512353
365	0.246820356
366	0.2467518347
367	0.2466409442
368	0.2465959592
369	0.246555158
370	0.2464871539
371	0.2464509291
372	0.2464249657
373	0.2463945864
374	0.2463295353
375	0.2462601165
376	0.2461982542
377	0.2460827997
378	0.2460538944
379	0.2459177258
380	0.245878685
381	0.2458405788
382	0.2458020429
383	0.2457824102
384	0.2457415288
385	0.2456964067
386	0.2456659706
387	0.2456261175
388	0.2455740117
389	0.2454873934
390	0.2454522587
391	0.2453958172
392	0.2453594146
393	0.2453029719
394	0.2452521574
395	0.2452152857
396	0.2451298587
397	0.2451085581
398	0.2450876427
399	0.2450595819
400	0.2450229756
401	0.2449346795
402	0.2448873477
403	0.2448649422
404	0.2448350974
405	0.2447781992
406	0.2447490581
407	0.2447152591
408	0.2446547005
409	0.2446282952
410	0.2446251792
411	0.244560854
412	0.2445248601
413	0.2444990238
414	0.2444824873
415	0.2444628274
416	0.244407476
417	0.2443136666
418	0.2442904278
419	0.2442230657
420	0.2441644169
421	0.2441375473
422	0.2440849749
423	0.2440456711
424	0.2440076772
425	0.2438770294
426	0.2438621669
427	0.2437883062
428	0.2437606231
429	0.2437088186
430	0.2436713913
431	0.2436382726
432	0.2435829298
433	0.2435513271
434	0.2435257946
435	0.2434958881
436	0.2434931647
437	0.243457867
438	0.2434097599
439	0.2433856643
440	0.2433493975
441	0.2432837798
442	0.2432537437
443	0.2431883889
444	0.2431526554
445	0.2431223477
446	0.2430846748
447	0.2430311481
448	0.2430012515
449	0.2429734906
450	0.242939899
451	0.2428756084
452	0.2428330838
453	0.2428056143
454	0.242752711
455	0.2427200601
